"price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
2479.290039,2504.120117,2477.090088,2500.73999,212792100,2500.73999,2020-10-01,"^STI",0.0138326419884622,0.0138326419884622
2500.340088,2505.600098,2469.120117,2496.110107,173283700,2496.110107,2020-10-02,"^STI",-0.00185140519146898,-0.00185140519146898
2512.909912,2522.399902,2504.889893,2517.22998,192050400,2517.22998,2020-10-05,"^STI",0.00846111433176455,0.00846111433176455
2525.699951,2540.709961,2525.689941,2529.26001,203731800,2529.26001,2020-10-06,"^STI",0.00477907465570548,0.00477907465570548
2523.189941,2543.27002,2518.23999,2538.360107,203795200,2538.360107,2020-10-07,"^STI",0.00359792862893515,0.00359792862893515
2545.419922,2546.169922,2526.320068,2543.110107,164787700,2543.110107,2020-10-08,"^STI",0.00187128689381022,0.00187128689381022
2547.939941,2547.969971,2532.409912,2532.959961,148957600,2532.959961,2020-10-09,"^STI",-0.0039912334004184,-0.0039912334004184
2537.129883,2555.929932,2534.370117,2552.419922,187208400,2552.419922,2020-10-12,"^STI",0.00768269585766257,0.00768269585766257
2556.399902,2570.189941,2547.120117,2567.649902,193880900,2567.649902,2020-10-13,"^STI",0.0059668786741276,0.0059668786741276
2562.439941,2563.439941,2548.870117,2555.590088,175822400,2555.590088,2020-10-14,"^STI",-0.00469682957579476,-0.00469682957579476
2543.340088,2548.620117,2518.139893,2523.620117,304470800,2523.620117,2020-10-15,"^STI",-0.0125098196107889,-0.0125098196107889
2530.379883,2545.159912,2526.860107,2533.02002,297188400,2533.02002,2020-10-16,"^STI",0.00372476940434852,0.00372476940434852
2540.550049,2549.52002,2537.310059,2543.570068,191629800,2543.570068,2020-10-19,"^STI",0.00416500774439199,0.00416500774439199
2542.080078,2542.389893,2523.209961,2528.639893,219510200,2528.639893,2020-10-20,"^STI",-0.00586977146328016,-0.00586977146328016
2536.72998,2545.52002,2521.699951,2525.610107,274375000,2525.610107,2020-10-21,"^STI",-0.00119818800944627,-0.00119818800944627
2518.75,2530.76001,2513.52002,2528.409912,211242900,2528.409912,2020-10-22,"^STI",0.00110856580445251,0.00110856580445251
2537.050049,2538.429932,2524.850098,2537.389893,195187900,2537.389893,2020-10-23,"^STI",0.00355163178145301,0.00355163178145301
2540.860107,2541.73999,2521.189941,2523.310059,212193400,2523.310059,2020-10-26,"^STI",-0.00554894383352067,-0.00554894383352067
2515.330078,2519,2503.370117,2512.870117,210580100,2512.870117,2020-10-27,"^STI",-0.00413739958859327,-0.00413739958859327
